"";"country";"year";"imports";"exports"
"489";"Slovenia";2000;11,7671;10,96297
"490";"Slovakia";2000;12,65585;12,08198
"491";"Finland";2000;44,84;57,348
"492";"Sweden";2000;107,7534;124,2943
"493";"United Kingdom";2000;476,3226;442,7874
"494";"Belgium";2001;179,87;188,764
"495";"Bulgaria";2001;7,03018;5,548
"496";"Denmark";2001;70,7749;83,9166
"497";"Germany";2001;656,29;694,733
"498";"Estonia";2001;4,55592;4,27972
"499";"Ireland";2001;97,203;116,2545
"500";"Greece";2001;50,75851;34,68306
"501";"Spain";2001;211,341;194,904
"502";"France";2001;409,674;429,317
"503";"Croatia";2001;10,95272;10,03877
"504";"Italy";2001;317,9225;334,2272
"505";"Cyprus";2001;7,38413;7,91422
"506";"Latvia";2001;4,53452;3,56261
"507";"Lithuania";2001;6,77334;6,02566
"508";"Luxembourg";2001;29,4546;35,0492
"509";"Hungary";2001;39,6387;38,9006
"510";"Malta";2001;5,00264;4,927
"511";"Netherlands";2001;272,494;304,244
"512";"Austria";2001;94,5218;98,367
"513";"Poland";2001;65,5166;57,8372
"514";"Portugal";2001;51,12558;37,24934
"515";"Romania";2001;18,44699;14,99671
"516";"Slovenia";2001;12,27261;12,03063
"517";"Slovakia";2001;15,71252;13,79656
"518";"Finland";2001;44,13;57,36
"519";"Sweden";2001;100,4688;117,1547
"520";"United Kingdom";2001;489,128;447,1452
"521";"Belgium";2002;178,27;193,411
"522";"Bulgaria";2002;7,27483;5,88094
"523";"Denmark";2002;73,8152;86,8199
"524";"Germany";2002;622,997;719,655
"525";"Estonia";2002;5,11302;4,53365
"526";"Ireland";2002;99,6456;123,0087
"527";"Greece";2002;49,42423;32,87663
"528";"Spain";2002;213,59;198,39
"529";"France";2002;404,555;431,084
"530";"Croatia";2002;13,00004;10,75208
"531";"Italy";2002;319,3063;329,3452
"532";"Cyprus";2002;7,39912;7,5404
"533";"Latvia";2002;4,74502;3,7153
"534";"Lithuania";2002;8,0444;7,18323
"535";"Luxembourg";2002;29,3303;35,6256
"536";"Hungary";2002;43,108;41,6652
"537";"Malta";2002;5,07961;5,2879
"538";"Netherlands";2002;266,831;300,413
"539";"Austria";2002;94,2566;102,536
"540";"Poland";2002;67,5957;60,4339
"541";"Portugal";2002;50,22837;38,43282
"542";"Romania";2002;19,92695;17,19334
"543";"Slovenia";2002;12,81835;13,06585
"544";"Slovakia";2002;17,02336;15,12111
"545";"Finland";2002;44,79;57,96
"546";"Sweden";2002;100,3523;118,0716
"547";"United Kingdom";2002;497,7105;445,3197
"548";"Belgium";2003;179,175;193,878
"549";"Bulgaria";2003;8,38342;6,46976
"550";"Denmark";2003;71,6999;84,8385
"551";"Germany";2003;642,217;723,557
"552";"Estonia";2003;5,73762;4,99851
"553";"Ireland";2003;95,6297;117,6847
"554";"Greece";2003;53,0372;33,17717
"555";"Spain";2003;222,273;204,462
"556";"France";2003;401,518;419,362
"557";"Croatia";2003;14,22431;11,94036
"558";"Italy";2003;318,5824;324,88
"559";"Cyprus";2003;7,23915;7,43475
"560";"Latvia";2003;5,09946;3,78501
"561";"Lithuania";2003;8,66045;7,6959
"562";"Luxembourg";2003;30,1686;36,3749
"563";"Hungary";2003;45,4122;42,4487
"564";"Malta";2003;5,1232;5,16485
"565";"Netherlands";2003;268,259;302,53
"566";"Austria";2003;96,8158;102,9802
"567";"Poland";2003;69,3076;64,2032
"568";"Portugal";2003;49,23569;39,09984
"569";"Romania";2003;22,21517;18,28412
"570";"Slovenia";2003;13,4705;13,38718
"571";"Slovakia";2003;19,2684;18,69799
"572";"Finland";2003;46,64;56,484
"573";"Sweden";2003;102,423;121,0288
"574";"United Kingdom";2003;467,5869;423,676
"575";"Belgium";2004;196,157;210,203
"576";"Bulgaria";2004;10,99135;8,63927
"577";"Denmark";2004;77,5615;88,9967
"578";"Germany";2004;690,443;804,899
"579";"Estonia";2004;6,73658;5,97198
"580";"Ireland";2004;103,3057;125,7527
"581";"Greece";2004;56,54628;40,11489
"582";"Spain";2004;250,101;216,896
"583";"France";2004;432,613;443,241
"584";"Croatia";2004;15,21656;13,20327
"585";"Italy";2004;340,0863;348,5181
"586";"Cyprus";2004;7,94658;7,92929
"587";"Latvia";2004;6,37708;4,56188
"588";"Lithuania";2004;9,91821;8,63481
"589";"Luxembourg";2004;35,8057;42,7513
"590";"Hungary";2004;53,1952;49,9147
"591";"Malta";2004;5,10055;5,03578
"592";"Netherlands";2004;291,375;332,889
"593";"Austria";2004;106,3058;113,3052
"594";"Poland";2004;76,1585;70,6272
"595";"Portugal";2004;54,105;41,52794
"596";"Romania";2004;27,37233;21,88278
"597";"Slovenia";2004;15,64649;15,2458
"598";"Slovakia";2004;24,79455;23,84479
"599";"Finland";2004;51,35;61,155
"600";"Sweden";2004;110,2048;133,5697
"601";"United Kingdom";2004;503,5167;451,3594
"602";"Belgium";2005;217,585;229,005
"603";"Bulgaria";2005;13,74716;10,22409
"604";"Denmark";2005;89,2776;100,9928
"605";"Germany";2005;751,938;868,355
"606";"Estonia";2005;7,99744;7,42252
"607";"Ireland";2005;116,9105;135,4413
"608";"Greece";2005;58,95308;42,46298
"609";"Spain";2005;276,074;229,55
"610";"France";2005;474,592;467,25
"611";"Croatia";2005;16,58658;14,3462
"612";"Italy";2005;368,8881;367,2421
"613";"Cyprus";2005;8,45584;8,3757
"614";"Latvia";2005;7,91439;5,92644
"615";"Lithuania";2005;12,82712;11,30814
"616";"Luxembourg";2005;40,8712;48,5531
"617";"Hungary";2005;58,9377;56,887
"618";"Malta";2005;5,49264;5,36691
"619";"Netherlands";2005;316,111;363,466
"620";"Austria";2005;115,1982;123,0404
"621";"Poland";2005;87,8078;85,209
"622";"Portugal";2005;56,85719;42,41458
"623";"Romania";2005;34,51236;26,40108
"624";"Slovenia";2005;17,60482;17,41842
"625";"Slovakia";2005;30,15409;28,34873
"626";"Finland";2005;59,791;66,175
"627";"Sweden";2005;121,2177;143,6834
"628";"United Kingdom";2005;552,5622;499,1808
"629";"Belgium";2006;235,14;247,32
"630";"Bulgaria";2006;17,56144;12,87661
"631";"Denmark";2006;105,1803;114,4121
"632";"Germany";2006;858,981;985,788
"633";"Estonia";2006;9,95642;8,58473
"634";"Ireland";2006;131,2652;146,1492
"635";"Greece";2006;69,01033;46,13003
"636";"Spain";2006;310,328;250,703
"637";"France";2006;519,126;503,641
"638";"Croatia";2006;18,65282;15,94381
"639";"Italy";2006;419,0836;406,1331
"640";"Cyprus";2006;9,16803;8,69071
"641";"Latvia";2006;10,46927;6,90064
"642";"Lithuania";2006;15,86431;13,3929
